date,country,state,county,fips,lat,long,locationId,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,metrics.testPositivityRatio,metrics.testPositivityRatioDetails,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
2020-03-01,US,LA,,22,,,iso1:us#iso2:us-la,,,1,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,
2020-03-02,US,LA,,22,,,iso1:us#iso2:us-la,,,1,,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,
2020-03-03,US,LA,,22,,,iso1:us#iso2:us-la,,,1,6,,,,,,,,,,,,,,,,0.0,,,,,,,0,,,,
2020-03-04,US,LA,,22,,,iso1:us#iso2:us-la,,,1,10,,,,,,,,,,,,,,0.077,,0.0,,,,,,,0,,,,
2020-03-05,US,LA,,22,,,iso1:us#iso2:us-la,,,1,11,,,,,,,,,,,,,,0.167,,0.0,,,,,,,0,,,,
2020-03-06,US,LA,,22,,,iso1:us#iso2:us-la,,,1,21,,,,,,,,,,,,,,0.074,,0.0,,,,,,,0,,,,
2020-03-07,US,LA,,22,,,iso1:us#iso2:us-la,,,1,35,,,,,,,,,,,,,,0.065,,0.0,,,,,,,0,,,,
2020-03-08,US,LA,,22,,,iso1:us#iso2:us-la,,,1,47,,,,,,,,,,,,,,0.05,,0.0,,,,,,,0,,,,
2020-03-09,US,LA,,22,,,iso1:us#iso2:us-la,1,0,5,98,,,,,,,,,,,,,,0.036,,0.0,,,,,,,0,,,,
2020-03-10,US,LA,,22,,,iso1:us#iso2:us-la,6,0,19,173,,,,,,,,,,5,,,,0.092,,0.0,,,,,,,0,,,0,
